date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death
2021-03-04,UT,372708.0,1549760.0,247.0,92.0,0.0,1955.0
2021-03-04,VA,581408.0,0.0,1352.0,284.0,184.0,9357.0
2021-03-04,VI,2704.0,46007.0,0.0,0.0,0.0,25.0
2021-03-04,VT,15686.0,318086.0,27.0,5.0,0.0,207.0
2021-03-04,WA,342236.0,0.0,461.0,121.0,61.0,5012.0
2021-03-04,WI,619942.0,2639148.0,262.0,67.0,0.0,7082.0
2021-03-04,WV,132677.0,0.0,193.0,57.0,22.0,2309.0
2021-03-04,WY,54685.0,181957.0,23.0,0.0,0.0,682.0
2021-03-03,AK,56605.0,0.0,26.0,0.0,2.0,303.0
2021-03-03,AL,497154.0,1915545.0,559.0,0.0,0.0,10029.0
2021-03-03,AR,323353.0,2455309.0,397.0,165.0,91.0,5261.0
2021-03-03,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-03,AZ,819954.0,3022710.0,1165.0,381.0,177.0,16089.0
2021-03-03,CA,3484963.0,0.0,5110.0,1403.0,0.0,52775.0
2021-03-03,CO,431670.0,2183138.0,389.0,0.0,0.0,5970.0
2021-03-03,CT,283622.0,0.0,451.0,0.0,0.0,7678.0
2021-03-03,DC,40818.0,0.0,177.0,47.0,23.0,1023.0
2021-03-03,DE,87425.0,540964.0,135.0,17.0,0.0,1440.0
2021-03-03,FL,1888725.0,9243230.0,3596.0,0.0,0.0,31829.0
2021-03-03,GA,1014542.0,0.0,2299.0,0.0,0.0,17625.0
2021-03-03,GU,7745.0,111925.0,4.0,1.0,1.0,131.0
2021-03-03,HI,28407.0,0.0,26.0,7.0,3.0,441.0
2021-03-03,IA,280991.0,1038003.0,191.0,40.0,11.0,5501.0
2021-03-03,ID,171836.0,502595.0,121.0,32.0,0.0,1871.0
2021-03-03,IL,1191520.0,0.0,1260.0,275.0,138.0,22853.0
2021-03-03,IN,663511.0,2464082.0,731.0,131.0,65.0,12633.0
2021-03-03,KS,295109.0,969651.0,203.0,59.0,23.0,4816.0
2021-03-03,KY,407373.0,0.0,680.0,175.0,79.0,4704.0
2021-03-03,LA,431771.0,5198424.0,588.0,0.0,78.0,9668.0
2021-03-03,MA,584743.0,4371477.0,755.0,173.0,109.0,16252.0
2021-03-03,MD,383956.0,3012179.0,863.0,228.0,0.0,7919.0
2021-03-03,ME,45091.0,0.0,67.0,24.0,8.0,705.0
2021-03-03,MI,650762.0,0.0,882.0,234.0,100.0,16550.0
2021-03-03,MN,486434.0,3021554.0,243.0,57.0,0.0,6507.0
2021-03-03,MO,479069.0,1865013.0,989.0,213.0,146.0,8148.0
2021-03-03,MP,144.0,17429.0,0.0,0.0,0.0,2.0
2021-03-03,MS,295675.0,1459374.0,469.0,120.0,64.0,6743.0
2021-03-03,MT,100351.0,0.0,67.0,13.0,7.0,1373.0
2021-03-03,NC,865554.0,0.0,1303.0,332.0,0.0,11363.0
2021-03-03,ND,100067.0,305504.0,20.0,3.0,0.0,1478.0
2021-03-03,NE,201608.0,766781.0,150.0,0.0,0.0,2091.0
2021-03-03,NH,75990.0,575625.0,89.0,0.0,0.0,1175.0
